cre88_RECID,cre88_TAXITEMGROUP,cre88_TAXGROUP,cre88_CONFIRMEDTAXWRITECODE,cre88_CURRENCYCODE,cre88_ITEMREFTYPE,cre88_NAME,cre88_TRANSACTIONCODE,cre88_VENDACCOUNT,cre88_DATAAREAID,cre88_ORDERACCOUNT,cre88_DELIVERYNAME,cre88_PAYMENT,cre88_PAYMMODE,cre88_PRICEGROUPID,cre88_PURCHASETYPE,cre88_PURCHNAME,cre88_PURCHSTATUS,cre88_VATNUM,cre88_VENDGROUP,cre88_COUNTRYREGIONID,cre88_ZIPCODE,cre88_STREET,cre88_CITY,cre88_STATE,cre88_COUNTY,cre88_PRODUCTTYPE,cre88_ITEMGROUPID
1,Goods,4,ALV,EUR,0,Hempel's Classic Varnish EAN: 5709516013850,11,91004,fi11,91004,Hempel (Finland) Oy Ab,CM+25,Clearing,,3,HEMPEL PAINTS (POLAND) SP. Z O.O.- EX GATE,3,PL7010150377,INTERNAL,FIN,1530,c/o PostNord Oy Osumakuja 3,Vantaa,EteläSuome,Uusimaa,1,FG-Y
2,Goods,4,,EUR,0,Hempel's Classic Varnish EAN: 5709516013850,11,91022,fi11,91022,Hempel (Finland) Oy Ab,CM+25,Clearing,,3,HEMPEL (PORTUGAL) Lda. - EX - GATE,3,PT 500133336,INTERNAL,FIN,1530,c/o PostNord Oy Osumakuja 3,Vantaa,EteläSuome,Uusimaa,1,FG-Y
3,Goods,4,,EUR,0,Hempel's Favourite Varnish EAN: 5709516013867,11,91022,fi11,91022,Hempel (Finland) Oy Ab,CM+25,Clearing,,3,HEMPEL (PORTUGAL) Lda. - EX - GATE,3,PT 500133336,INTERNAL,FIN,1530,c/o PostNord Oy Osumakuja 3,Vantaa,EteläSuome,Uusimaa,1,FG-Y
4,Goods,4,,EUR,0,Hempel's Dura-Satin Varnish EAN: 5709516013959,11,91022,fi11,91022,Hempel (Finland) Oy Ab,CM+25,Clearing,,3,HEMPEL (PORTUGAL) Lda. - EX - GATE,3,PT 500133336,INTERNAL,FIN,1530,c/o PostNord Oy Osumakuja 3,Vantaa,EteläSuome,Uusimaa,1,FG-Y
5,Goods,4,,EUR,0,Hempel's Dura-Gloss Varnish EAN: 5709516021695,11,91022,fi11,91022,Hempel (Finland) Oy Ab,CM+25,Clearing,,3,HEMPEL (PORTUGAL) Lda. - EX - GATE,3,PT 500133336,INTERNAL,FIN,1530,c/o PostNord Oy Osumakuja 3,Vantaa,EteläSuome,Uusimaa,1,FG-Y
6,Goods,P-EU-RC,BTW,EUR,1,EAN: 5709516021695,Verkoop,93011,nl20,93011,m/v STATENGRACHT,CM+25,Clearing,Area 3,3,OY HEMPEL (FINLAND) AB - II,3,FI01088542,INTERNAL,FIN,26100,c/o Euroports Rauma Hakunintie 23 tel. 0400 595165,Rauma,,,1,FG-Y
7,Goods,P-EU-RC,TVA,EUR,0,Hempel's Dura-Gloss Varnish,11,91022,fr12,91022,Hempel France SAS,CM+25,Clearing,P1 Portuga,3,HEMPEL (PORTUGAL) S.A. - EX - GATE,1,PT500133336,INTERNAL,FRA,60149,SAINT-CREPIN FG WRH 5 RUE DE L'EUROPE,Saint-Crépin-Ibouvillers,,,1,FG-Y
8,Goods,VAT-FOR-21,PDV,EUR,1,Hempel's Dura-Gloss Varnish,11,93020,hr89,93020,M/V CHAMPION ISTRA,CM+25,Clearing,,3,HEMPEL (THE NETHERLANDS) B.V. - II,3,NL 001839561B01,INTERNAL,NLD,,"Vertom Agencies B.V. Oever 7, 3161 GR RHOON, Rhoon, Netherlands +31 102858585 +31 102858470 agency@vertom.nl  ",,,,1,FG-Y
9,Goods,P-NEU-0,BTW,USD,0,Hempel's Marine Varnish,Verkoop,93053,nl20,93053,JFJ DE NUL (JDN) IMO 9260677,CM+25,Clearing,Area 2,3,P.T. HEMPEL INDONESIA - II,4,,INTERNAL,IDN,,Batam,,,,1,FG
10,Goods,VAT-FOR-12,BTW,USD,1,Hempel's Marine Varnish,Verkoop,93041,nl20,93041,M/V CHARLES DARWIN,CM+25,Clearing,Area 7,3,HEMPEL (ECUADOR) S.A. - II,3,No VAT Number,INTERNAL,ECU,,GUAYAQUIL,,,,1,FG
